This file was created using the 202607 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
 ,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199401  ,17.76  ,15.32  ,13.59  ,20.67  ,18.62  ,18.56  ,19.10  ,21.21  ,17.86  ,19.41  ,19.31  ,17.33  ,16.17  ,15.89  ,23.08  ,17.78  ,14.14  ,14.86  ,15.97  ,18.78  ,14.67  ,16.91  ,15.92  ,18.54  ,20.56
199402   ,4.55   ,5.06   ,4.65   ,5.02   ,6.26   ,3.89   ,2.80   ,5.24   ,4.36   ,7.50   ,3.90   ,5.43   ,4.23   ,5.33   ,5.28   ,3.37   ,6.30   ,3.38   ,5.19   ,5.75   ,2.57   ,2.68   ,4.02   ,4.48   ,6.33
199403   ,3.66   ,3.01   ,5.81   ,2.54   ,4.96   ,2.51   ,2.38   ,2.45   ,6.07   ,3.27   ,0.95   ,0.35   ,1.84   ,1.30   ,4.22  ,-0.73  ,-0.85   ,1.16   ,1.56   ,2.09  ,-3.51  ,-4.41  ,-2.55  ,-1.46  ,-1.95
199404   ,7.41  ,12.18   ,4.07   ,7.43   ,9.17   ,5.35   ,5.36   ,3.89   ,5.81   ,5.21   ,2.77   ,3.18   ,3.54   ,4.35   ,2.84   ,2.60   ,3.03   ,2.23   ,4.02   ,4.43   ,3.55   ,3.28   ,4.32   ,3.06   ,2.67
199405   ,0.89  ,-1.74   ,0.76   ,0.31   ,2.52  ,-2.14  ,-0.77   ,0.92   ,0.11   ,0.40   ,0.16  ,-1.97   ,0.25  ,-0.09   ,0.87   ,0.02   ,0.30   ,0.91   ,0.68   ,1.88   ,0.42  ,-0.34   ,3.19   ,4.77   ,4.53
199406  ,12.51  ,12.21  ,11.72  ,10.91  ,16.18   ,7.56   ,9.75   ,7.52  ,12.03  ,11.72   ,5.16   ,8.24   ,8.17  ,10.29  ,11.62   ,6.36   ,4.67   ,6.76   ,8.19  ,10.17   ,4.23   ,4.67   ,6.23   ,6.20   ,6.81
199407  ,-2.52  ,-3.08  ,-3.97  ,-2.19  ,-4.19  ,-3.11  ,-4.84  ,-2.48  ,-3.29  ,-2.40  ,-2.19  ,-4.16  ,-3.06  ,-4.15  ,-3.71  ,-2.77  ,-3.36  ,-2.49  ,-2.53  ,-4.09  ,-3.24  ,-4.06  ,-3.95  ,-4.17  ,-6.64
199408  ,-3.32  ,-2.57  ,-1.59  ,-2.60  ,-1.22  ,-1.70  ,-2.59   ,0.08  ,-1.32  ,-3.27  ,-2.08  ,-1.62  ,-0.02  ,-1.45  ,-0.32  ,-1.85  ,-1.46  ,-0.57  ,-0.22  ,-0.56   ,0.00   ,1.24   ,1.10  ,-1.36   ,2.17
199409  ,-5.40  ,-4.91  ,-4.84  ,-2.77  ,-4.14  ,-4.79  ,-4.16  ,-6.14  ,-4.43  ,-3.87  ,-5.32  ,-5.10  ,-2.78  ,-5.00  ,-3.87  ,-3.34  ,-5.63  ,-2.53  ,-2.62  ,-2.65  ,-3.49  ,-2.44  ,-2.04  ,-1.86  ,-2.55
199410   ,4.56   ,3.44   ,2.64   ,4.40   ,3.91   ,3.39   ,2.18   ,3.29   ,1.66   ,3.08   ,0.67   ,0.93   ,0.51   ,1.39   ,1.84   ,0.34   ,0.66   ,1.40   ,1.82   ,2.08   ,2.28   ,1.91   ,3.45   ,4.08   ,4.93
