date,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
1994-06-01,12.66,13.61,13.5,13.69,14.24,10.86,8.35,9.93,9.67,11.16,7.94,8.46,7.67,10.63,10.47,6.73,7.78,6.06,6.86,9.93,5.88,5.1,4.47,5.4,6.57
1994-07-01,-2.87,-3.16,-2.16,-3.66,-3.7,-2.98,-2.8,-3.34,-2.89,-2.92,-3.71,-4.16,-2.72,-3.49,-3.59,-2.96,-2.06,-3.22,-3.24,-4.73,-3.09,-2.49,-4.05,-3.81,-5.52
1994-08-01,-2.09,-0.84,-1.84,-1.82,-2.15,-1.19,-0.73,-1.52,-1.67,-3.28,-0.41,-1.32,-0.99,-0.61,-2.42,-2.14,-0.88,-0.57,0.07,-0.96,-0.37,1.42,-2.4,1.3,0.91
1994-09-01,-4.15,-5.89,-3.08,-4.32,-3.63,-5.41,-4.8,-3.91,-5.11,-2.79,-5.84,-3.69,-4.2,-4.47,-4.81,-4.79,-1.87,-2.75,-3.21,-3.0,-2.61,-2.63,-2.89,-1.25,-2.72
1994-10-01,1.58,2.26,3.56,4.51,4.18,2.03,1.79,1.64,3.42,4.2,-0.51,0.43,1.07,2.39,1.21,-0.32,1.29,1.5,1.93,2.27,-0.22,1.73,2.84,4.09,4.47
1994-11-01,-8.27,-8.51,-7.14,-6.62,-6.23,-9.51,-8.12,-8.35,-8.41,-8.06,-7.76,-6.88,-9.52,-8.19,-8.66,-6.76,-6.8,-6.51,-7.07,-7.32,-4.63,-5.11,-6.78,-6.14,-6.65
1994-12-01,2.55,1.47,2.98,3.39,1.99,1.56,1.2,3.7,2.19,3.02,2.19,3.11,4.05,4.13,3.15,2.23,2.49,3.45,2.03,2.94,1.8,2.52,2.83,1.18,0.44
1995-01-01,1.77,2.12,-2.84,-4.42,-9.59,0.65,-2.26,-0.57,-6.2,-9.61,-2.9,-3.45,0.33,-6.19,-10.57,-2.55,-0.91,-4.31,-7.26,-9.22,-4.01,-3.88,-7.18,-8.94,-11.56
1995-02-01,-9.67,-4.98,-4.1,-3.07,-2.14,-10.0,-5.36,-4.69,-4.32,-5.01,-9.75,-6.66,-5.31,-5.51,-6.17,-11.0,-5.69,-5.02,-4.72,-7.04,-5.68,-6.04,-2.84,-4.51,-5.21
1995-03-01,2.57,8.09,6.23,6.78,5.72,6.73,7.4,5.56,8.06,5.32,6.4,6.5,5.99,5.14,5.45,8.08,8.16,6.69,8.3,4.32,12.35,8.03,9.63,9.7,9.28
1995-04-01,0.57,1.25,2.43,-0.02,0.63,1.8,0.3,2.83,1.35,1.63,1.64,2.57,1.71,3.44,3.71,2.6,3.3,3.5,3.15,5.38,3.23,5.88,3.41,4.37,6.11
1995-05-01,-7.29,-7.74,-6.87,-5.61,-6.68,-9.91,-8.72,-9.39,-8.78,-5.07,-9.73,-9.65,-9.46,-8.14,-8.63,-10.16,-8.45,-6.96,-8.03,-5.77,-6.75,-6.16,-5.35,-4.76,-6.63
1995-06-01,-6.05,-6.93,-5.44,-6.01,-5.41,-3.97,-4.87,-6.14,-6.85,-3.29,-3.52,-5.54,-5.93,-5.43,-2.5,-4.43,-5.47,-6.55,-4.36,-2.17,-3.66,-4.35,-5.85,-2.7,-3.42
1995-07-01,5.63,4.49,4.06,2.13,-0.16,7.81,8.11,5.83,3.55,-0.3,8.51,7.98,5.66,5.67,0.88,11.78,7.24,5.73,4.02,0.24,10.06,8.75,8.09,6.7,3.73
1995-08-01,2.79,-1.69,-2.1,-2.61,-4.19,2.02,-0.08,-0.35,-2.16,-7.57,1.33,-0.27,-1.66,-2.41,-4.43,3.43,0.11,-1.49,-2.22,-6.15,1.05,-2.99,-5.03,-4.07,-1.96
1995-09-01,-4.96,-3.56,-3.12,-3.32,-4.21,-3.06,-4.41,-4.58,-4.01,-0.93,-4.16,-2.93,-1.87,-2.29,-2.81,-2.34,-3.05,-3.07,-3.03,-3.19,-2.0,-0.64,-2.26,-0.43,0.26
1995-10-01,-1.89,-0.91,0.09,-1.48,-0.61,-3.69,-3.66,-3.33,-2.67,-1.19,-4.05,-3.43,-0.98,-2.4,1.29,-4.12,-2.94,-3.64,-2.33,-2.34,-6.68,-4.43,-4.11,-5.0,-2.58
1995-11-01,4.97,3.52,6.52,1.66,0.6,4.87,5.69,4.91,4.68,5.74,4.6,4.4,5.63,4.23,2.76,5.19,4.6,3.7,2.03,2.48,6.29,6.36,5.81,3.7,3.72
1995-12-01,10.24,10.94,6.87,6.48,4.16,10.43,6.32,5.82,3.33,3.2,9.54,6.57,4.68,3.54,1.91,8.26,5.4,4.08,4.38,1.3,10.1,4.75,5.48,3.7,1.98
1996-01-01,3.66,3.11,1.63,0.9,-2.75,2.62,2.36,2.02,0.17,-0.15,2.4,2.79,0.09,2.75,0.0,2.39,0.08,0.19,-0.1,-2.74,-3.41,-1.66,-0.43,-2.3,-2.19
1996-02-01,-0.47,-0.91,-2.19,-3.26,-4.39,-0.87,-1.22,-1.91,-2.11,-3.56,-0.26,-1.21,-1.97,-0.21,-2.31,-1.97,0.34,-1.53,-1.01,-0.64,-1.41,-1.59,-2.53,-1.09,-1.5
1996-03-01,0.77,2.66,2.17,5.38,1.95,1.3,2.46,2.31,4.52,1.22,1.78,2.65,3.39,3.56,0.22,2.06,3.36,2.21,4.54,1.96,4.44,3.8,2.72,2.21,3.9
1996-04-01,15.83,15.96,12.46,13.4,11.05,10.62,11.0,11.34,10.64,10.01,12.66,10.38,8.7,9.62,9.37,10.47,9.22,8.25,7.26,7.73,7.16,6.04,4.94,5.61,5.93
1996-05-01,-2.01,-2.07,-3.09,-2.37,-2.76,-2.64,-3.16,-1.28,-3.21,-4.74,-2.55,-2.05,-3.87,-3.86,-5.36,-3.48,-4.48,-3.73,-4.13,-7.08,-4.95,-3.16,-6.17,-4.54,-4.47
1996-06-01,-0.01,-0.96,-2.09,-0.32,-1.72,-0.35,-0.39,-0.47,0.65,-2.94,0.02,-0.43,0.67,0.65,0.67,-0.05,-0.02,0.83,1.25,-2.06,-1.2,-0.05,2.67,1.58,0.52
1996-07-01,-1.28,-2.71,-3.26,-4.99,-8.39,-1.88,-3.42,-5.23,-6.95,-9.91,-3.66,-4.2,-4.6,-6.95,-10.61,-3.41,-3.82,-4.4,-5.38,-7.91,-3.1,-5.25,-4.83,-4.67,-4.87
1996-08-01,-4.55,-2.94,-3.58,-3.24,-3.46,-4.53,-4.55,-3.93,-3.15,-3.03,-4.48,-4.73,-4.03,-4.39,-2.31,-4.87,-5.04,-4.73,-5.67,-4.37,-3.14,-4.05,-5.91,-4.18,-6.51
1996-09-01,-2.07,-2.71,-1.84,-2.75,-2.14,-1.68,-0.16,-1.18,-1.66,-1.82,0.8,1.04,1.06,1.32,-1.07,1.55,1.9,1.98,2.93,0.19,4.36,2.22,3.5,4.16,4.35
1996-10-01,-6.43,-6.16,-5.31,-5.45,-3.2,-6.52,-6.17,-6.88,-5.91,-5.8,-8.62,-7.5,-7.72,-7.07,-5.44,-6.76,-6.97,-6.48,-7.13,-7.23,-7.38,-6.09,-7.55,-6.73,-7.04
1996-11-01,-4.11,-4.12,-3.44,-4.0,-6.24,-3.64,-2.5,-2.16,-3.86,-4.76,-3.27,-3.37,-1.55,-3.63,-3.59,-2.43,-1.74,-1.98,-1.1,-0.7,1.08,0.21,-0.23,1.1,8.4
1996-12-01,-12.34,-9.57,-10.13,-9.45,-10.64,-11.44,-8.79,-10.21,-10.78,-10.94,-12.14,-9.23,-9.49,-10.37,-9.33,-9.35,-7.22,-9.35,-9.78,-8.32,-5.9,-8.55,-7.89,-8.45,-0.75
1997-01-01,-10.45,-10.09,-9.42,-10.0,-9.25,-8.34,-11.59,-9.93,-9.16,-10.95,-10.9,-9.79,-8.84,-8.24,-11.56,-11.72,-9.65,-10.39,-9.24,-8.6,-18.64,-12.61,-9.07,-8.65,-7.39
