date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
1995-09-01,-5.01,-3.97,-3.78,-2.4,-4.15,-3.05,-4.47,-3.16,-3.59,-3.97,-1.75,-1.23,-3.5,-0.88,-5.39,-1.86,-2.64,-4.28,-3.48,-3.06,-0.42,0.19,0.52,-1.22,-3.66
1995-10-01,-1.45,-0.42,-0.11,-3.16,-2.48,-1.4,-1.87,-1.3,-2.26,-3.29,-2.44,-3.79,-4.01,-3.64,-3.08,-4.16,-3.05,-3.5,-0.73,-3.85,-3.66,-4.93,-4.72,-3.1,-4.85
1995-11-01,6.27,6.93,3.81,6.81,5.43,5.08,4.08,4.27,5.28,6.84,3.16,3.0,5.57,3.2,5.35,5.47,3.17,3.31,2.3,4.44,4.36,5.36,4.62,4.67,3.0
1995-12-01,7.0,7.01,8.61,9.06,11.42,6.38,3.85,5.57,5.08,8.9,3.78,5.01,6.95,7.13,5.88,3.95,5.12,6.02,4.61,5.42,3.07,5.49,3.77,5.34,7.05
1996-01-01,1.65,2.84,2.63,2.24,2.83,1.18,1.92,3.53,1.09,1.7,0.43,0.98,2.67,1.1,1.59,0.8,1.69,0.15,0.57,0.18,-3.2,-3.26,-0.79,0.54,-0.74
1996-02-01,-2.05,-4.28,-3.12,-2.93,-1.61,-1.6,-1.21,-1.75,-1.89,-2.86,-0.45,-1.3,-1.7,-1.35,-0.64,-0.35,-1.09,-1.11,-1.22,-1.57,-1.79,-1.28,-1.45,-0.9,-1.99
1996-03-01,5.54,2.31,0.51,4.34,1.04,2.26,1.87,1.04,2.99,1.28,2.02,1.78,3.29,2.74,1.76,3.07,2.63,4.02,2.9,3.4,3.1,4.1,3.17,1.82,2.52
1996-04-01,15.44,13.04,18.66,14.51,16.31,10.06,9.07,9.9,9.53,9.24,9.28,10.1,11.45,9.58,11.09,7.3,8.05,8.64,8.35,8.73,5.33,5.26,5.58,6.74,7.83
1996-05-01,-3.62,-2.9,-4.34,-2.99,-2.63,-3.3,-3.58,-3.28,-4.41,-2.79,-5.24,-2.04,-5.31,-4.16,-2.97,-4.38,-4.34,-5.25,-4.45,-3.69,-3.98,-5.44,-5.93,-2.89,-5.17
1996-06-01,-2.09,-0.29,-1.37,-2.3,-2.04,-1.58,-1.61,-2.45,0.6,-0.92,0.54,-0.23,0.42,0.39,-0.26,-0.16,1.04,0.62,-0.07,0.15,0.23,-0.5,0.04,3.15,1.13
1996-07-01,-6.76,-4.97,-3.23,-4.36,-2.76,-7.55,-6.84,-6.03,-5.83,-4.79,-7.2,-5.97,-5.76,-6.01,-6.39,-6.07,-5.32,-4.24,-4.82,-5.2,-4.96,-4.51,-3.87,-3.39,-5.65
1996-08-01,-3.16,-4.08,-4.72,-4.6,-3.7,-3.56,-4.13,-2.49,-4.32,-3.7,-3.08,-3.04,-4.95,-4.41,-4.29,-4.66,-4.79,-5.4,-4.64,-5.02,-3.82,-4.44,-4.87,-4.67,-3.95
1996-09-01,-0.59,-4.03,-3.12,-2.75,-2.36,-2.88,-1.18,-1.22,-0.32,-1.68,1.32,-0.49,0.22,0.83,0.89,-0.18,1.41,1.44,2.81,2.17,3.71,3.35,3.85,4.44,3.36
1996-10-01,-5.47,-3.93,-5.44,-2.89,-5.27,-6.52,-7.07,-6.46,-7.01,-5.91,-8.62,-7.33,-6.99,-7.85,-7.17,-6.72,-7.69,-6.53,-5.91,-6.73,-7.04,-6.71,-6.82,-7.24,-6.76
