date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
1995-11-01,1.51,-0.3,0.96,-0.32,0.64,2.86,1.94,1.13,1.7,3.94,2.19,1.92,2.22,1.62,3.56,3.64,2.04,1.77,2.69,2.51,3.38,3.43,3.42,3.02,3.38
1995-12-01,3.43,2.45,3.27,1.46,1.99,3.29,2.67,2.83,4.04,3.0,2.83,2.06,3.04,3.66,3.14,2.59,2.48,2.04,2.94,3.86,1.23,2.99,3.21,3.47,2.8
1996-01-01,2.34,2.72,1.45,2.63,1.97,1.49,1.1,0.75,1.45,1.52,0.24,2.14,2.03,1.86,1.82,-0.31,1.73,1.93,1.64,1.43,1.3,1.03,2.07,1.72,2.48
1996-02-01,2.86,2.39,3.06,2.34,2.68,1.91,3.02,1.59,1.27,1.64,3.79,2.51,1.34,1.47,1.43,3.73,2.07,1.94,1.19,1.14,0.53,0.87,0.53,0.78,0.62
1996-03-01,2.96,1.4,2.58,2.53,1.96,1.89,1.78,1.81,2.56,1.21,1.44,2.84,2.1,1.36,2.2,2.99,2.33,2.4,1.81,2.32,0.74,1.63,1.64,2.14,1.05
1996-04-01,7.23,7.24,6.46,5.73,5.28,8.94,6.58,6.51,4.35,5.3,5.99,5.15,5.24,4.68,5.11,5.49,4.09,4.77,4.42,3.47,2.09,3.4,2.54,2.5,1.27
1996-05-01,4.88,5.1,4.01,4.41,4.12,2.66,3.05,1.12,2.33,2.54,0.95,1.83,0.81,-0.27,0.92,0.85,0.25,-0.54,-0.81,0.26,1.37,-0.06,-0.53,0.38,0.6
1996-06-01,-4.04,-3.93,-4.01,-2.44,-1.82,-4.42,-2.34,-1.81,-0.82,-1.2,-2.21,-2.97,-1.88,-0.96,-0.83,-3.78,-0.8,-0.6,0.0,0.09,0.77,-0.51,0.02,1.34,0.36
1996-07-01,-8.17,-7.1,-5.0,-3.49,-2.82,-10.49,-8.29,-5.3,-4.79,-3.77,-8.81,-6.85,-5.26,-4.26,-4.29,-6.67,-4.27,-4.52,-3.83,-4.01,-4.37,-4.16,-3.05,-3.13,-3.09
1996-08-01,2.08,3.7,2.62,2.17,1.93,3.95,2.51,2.53,2.41,1.05,3.55,3.69,2.63,2.14,1.3,2.75,1.9,0.96,2.14,1.1,0.52,0.83,1.43,1.4,1.77
1996-09-01,-0.09,1.05,0.62,0.69,1.12,1.82,1.88,0.79,0.93,0.83,2.14,1.25,2.34,1.16,0.8,4.02,2.34,1.84,2.65,1.85,4.75,4.31,4.08,3.28,3.41
1996-10-01,-1.94,-0.22,-0.3,1.31,1.47,-2.67,-1.43,0.42,1.29,-0.19,-3.26,-2.5,-1.62,-0.2,-0.48,-2.9,-0.94,-1.42,0.08,0.42,-1.09,0.25,0.93,1.07,2.12
1996-11-01,0.1,1.61,2.04,2.59,3.33,0.54,1.93,2.17,2.58,2.53,0.65,1.62,3.04,2.44,2.57,2.07,2.08,2.71,3.24,4.95,4.59,5.86,5.69,6.22,6.97
1996-12-01,-2.34,0.26,0.3,0.91,0.73,-1.43,-0.85,-0.37,0.59,-1.0,-0.93,-1.71,-0.64,-0.64,-1.1,-1.45,-1.72,-1.73,-0.91,-0.47,-2.16,-1.76,-0.6,-1.04,-1.33
1997-01-01,1.05,1.53,2.36,2.25,2.2,0.54,-0.39,1.09,-0.28,-0.77,-0.55,-0.78,0.95,-0.47,-0.46,-1.28,-2.29,-0.81,-0.41,0.67,0.77,0.13,0.82,0.6,1.42
1997-02-01,-0.48,0.47,-0.41,1.36,1.64,-1.7,-2.52,-1.49,0.7,0.56,-3.34,-1.57,-0.81,1.32,1.71,-2.14,-0.94,0.4,0.44,1.52,1.44,0.71,-0.38,1.56,2.19
1997-03-01,-4.88,-4.06,-2.28,-1.41,-1.2,-6.41,-4.75,-2.84,-2.28,-2.07,-6.14,-4.22,-2.4,-2.11,-1.56,-5.89,-1.92,-3.54,-1.79,-1.87,-3.55,-2.29,-0.3,-1.42,-2.77
1997-04-01,-3.29,-4.53,-2.76,-2.05,-1.24,-3.46,-2.35,-1.22,-1.16,-1.08,-2.16,-1.08,-0.18,0.88,-0.51,-0.54,0.07,0.87,0.69,0.33,4.58,3.38,2.56,2.23,2.53
1997-05-01,7.27,6.97,7.14,7.58,6.64,10.29,11.0,10.19,8.59,8.75,11.62,10.57,8.61,7.96,7.72,10.64,8.78,7.77,8.19,6.83,8.7,6.76,6.72,5.6,7.18
1997-06-01,0.88,1.52,2.85,2.56,3.92,0.91,1.66,3.57,2.89,4.17,1.43,3.14,2.57,4.11,4.4,2.45,2.81,3.3,3.71,3.06,5.16,4.57,4.42,4.95,4.62
1997-07-01,-1.56,0.42,-0.77,1.35,0.82,-2.5,-1.09,0.89,0.08,-1.4,1.61,1.87,0.39,0.69,0.51,1.97,1.62,2.76,2.38,2.03,5.48,4.85,5.09,5.2,5.47
1997-08-01,1.18,0.35,0.25,1.16,0.87,0.22,1.02,-0.29,0.24,-1.54,-0.68,-1.98,-0.23,-1.82,-2.72,-3.3,-2.99,-2.79,-2.91,-3.66,-7.68,-5.99,-5.37,-5.54,-5.23
1997-09-01,2.83,5.86,4.64,3.41,3.92,3.38,3.36,4.42,4.13,1.03,5.43,4.65,3.89,3.33,3.0,3.61,5.33,3.55,3.88,3.23,5.33,6.05,5.36,7.69,6.63
1997-10-01,-4.93,-4.76,-4.47,-5.46,-3.14,-4.94,-4.14,-5.08,-3.26,-3.74,-5.73,-5.23,-4.7,-4.56,-2.69,-5.31,-4.66,-4.77,-3.84,-4.39,-4.89,-6.0,-6.36,-5.05,-4.26
1997-11-01,-6.95,-4.65,-4.61,-4.06,-3.8,-4.57,-3.64,-4.62,-3.41,-5.66,-5.22,-4.57,-3.8,-2.76,-3.8,-1.75,-3.26,-2.61,-1.32,-2.8,3.04,2.43,0.82,1.04,1.34
1997-12-01,-4.33,-4.36,-3.51,-2.56,-1.91,-3.29,-3.6,-3.14,-1.25,-2.07,-1.1,-2.36,-1.02,-0.87,0.7,-2.77,-1.21,-0.72,-0.83,0.34,0.82,1.27,1.06,2.27,3.25
1998-01-01,1.85,1.96,0.84,-0.08,1.82,3.49,0.93,2.06,0.33,4.11,2.53,1.06,1.84,0.34,3.3,2.22,0.54,0.64,1.84,2.96,5.03,1.52,0.91,0.73,2.14
